Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 12:43:57 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.1
System Temp (C):	26.1
Spectrometer Temp (C):	24
CCD Temp (C):	-0.009
Secondary Temp (C):	20.007
Heatsink Temp (C):	21.096
CCDPCB Temp (C):	36.307
SecondaryPCB Temp (C):	30.093

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	454.5	46.3
787.2016	32.3739	455.35	47.85
787.3422	34.6426	459.4	51.9
787.4828	36.9109	465.5	54.15
787.6235	39.1787	475.3	59.95
787.7642	41.4461	483.7	63.3
787.9049	43.7131	492.4	70.2
788.0456	45.9796	499.05	74.7
788.1863	48.2456	509.4	79.6
788.3271	50.5112	519.3	85.65
788.4679	52.7764	528.8	90.65
788.6087	55.0411	536.85	95.95
788.7496	57.3054	549.8	103.8
788.8904	59.5692	558.95	111.2
789.0313	61.8326	567.4	117.05
789.1722	64.0955	579.95	127.6
789.3132	66.3579	597.8	140
789.4541	68.6199	613.55	149.95
789.5951	70.8815	649.35	181.55
789.7361	73.1426	733.2	261.45
789.8771	75.4032	946.3	471.05
790.0181	77.6634	1464.75	983.1
790.1592	79.9231	2684.25	2193.75
790.3003	82.1824	5337.5	4825
790.4414	84.4412	10041.9	9496.55
790.5825	86.6995	16426.9	15833.45
790.7237	88.9574	22570.25	21938.05
790.8648	91.2148	26745.2	26085.75
791.006	93.4717	28558.15	27881.55
791.1472	95.7282	28796.05	28112.7
791.2885	97.9842	28464.65	27776.9
791.4297	100.2398	27669.25	26978.45
791.571	102.4949	26792	26099.8
791.7123	104.7495	25840.95	25145.85
791.8536	107.0036	24904.2	24205.7
791.9949	109.2573	24034.4	23337.8
792.1363	111.5105	23287.65	22589.85
792.2777	113.7632	22631.55	21930.35
792.4191	116.0154	22049.05	21332.55
792.5605	118.2672	21647.8	20941
792.7019	120.5185	21259.15	20552.6
792.8434	122.7693	20932.2	20224.1
792.9849	125.0197	20685.75	19973.7
793.1264	127.2696	20373.7	19658.1
793.2679	129.519	20210.25	19491.95
793.4094	131.7679	19929.85	19203.95
793.551	134.0163	19649.85	18920.75
793.6926	136.2642	19277.6	18544.85
793.8342	138.5117	18916.15	18174.1
793.9758	140.7587	18513.75	17774.65
794.1175	143.0052	18179.35	17440.2
794.2591	145.2512	17828	17090.9
794.4008	147.4967	17476.4	16738.25
794.5425	149.7417	17273.45	16531.7
794.6842	151.9863	17067.95	16319.6
794.826	154.2304	16963.15	16212.7
794.9677	156.4739	16800.7	16045
795.1095	158.717	16656.4	15899.7
795.2513	160.9596	16482.75	15720.85
795.3931	163.2017	16195.5	15431.35
795.535	165.4433	15926.95	15163.2
795.6768	167.6844	15600.75	14833.1
795.8187	169.925	15296.75	14529.45
795.9606	172.1651	14919.1	14152.1
796.1025	174.4047	14682.2	13909.55
796.2445	176.6439	14420.7	13646.4
796.3864	178.8825	14221.95	13444.7
796.5284	181.1206	14083.65	13299.3
796.6704	183.3582	13932	13144.35
796.8124	185.5954	13830.7	13034.95
796.9544	187.832	13780.3	12989.15
797.0965	190.0681	13749.6	12956.35
797.2386	192.3037	13745.45	12945.55
797.3806	194.5388	13765.25	12964
797.5228	196.7734	13787.7	12984.8
797.6649	199.0075	13838.8	13030.35
797.807	201.2411	13988.45	13177.9
797.9492	203.4742	14046.3	13238.95
798.0914	205.7068	14199.5	13391.1
798.2336	207.9389	14343.8	13529.8
798.3758	210.1704	14477.15	13667.2
798.518	212.4015	14598.9	13799.2
798.6603	214.632	14729.45	13935.15
798.8025	216.862	14864.05	14074.45
798.9448	219.0915	14966.05	14169.15
799.0871	221.3205	15089.05	14295.45
799.2294	223.549	15194.3	14401.75
799.3718	225.777	15268.35	14477.8
799.5141	228.0044	15359.1	14564.85
799.6565	230.2314	15489	14690.85
799.7989	232.4578	15586.6	14783.8
799.9413	234.6837	15697.45	14893.3
800.0837	236.909	15772.8	14964.4
800.2262	239.1339	15779.05	14941.9
800.3687	241.3582	15718.9	14896
800.5111	243.582	15629.15	14776.65
