Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 1:08:22 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.2
System Temp (C):	26.1
Spectrometer Temp (C):	24
CCD Temp (C):	0.007
Secondary Temp (C):	20.003
Heatsink Temp (C):	20.966
CCDPCB Temp (C):	36.073
SecondaryPCB Temp (C):	30.171

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	456.05	47.25
787.2016	32.3739	458.2	51.25
787.3422	34.6426	464.1	54.7
787.4828	36.9109	471.8	60.35
787.6235	39.1787	476.55	62.55
787.7642	41.4461	485.65	66.2
787.9049	43.7131	493.3	72.8
788.0456	45.9796	501.15	77.45
788.1863	48.2456	513.3	85.95
788.3271	50.5112	521.4	89
788.4679	52.7764	531.6	97.5
788.6087	55.0411	543.7	104.15
788.7496	57.3054	555.05	109.5
788.8904	59.5692	560.6	113.65
789.0313	61.8326	571.85	121.75
789.1722	64.0955	584.2	128.95
789.3132	66.3579	600.7	141.25
789.4541	68.6199	621.45	159.25
789.5951	70.8815	656.65	188.7
789.7361	73.1426	734.45	265.3
789.8771	75.4032	951.85	478.3
790.0181	77.6634	1450.8	971.25
790.1592	79.9231	2656.55	2170.85
790.3003	82.1824	5246.65	4744.95
790.4414	84.4412	9912.5	9380.7
790.5825	86.6995	16286.6	15719.9
790.7237	88.9574	22540.15	21946.95
790.8648	91.2148	26850.25	26234.05
791.006	93.4717	28806.8	28178.7
791.1472	95.7282	29120.25	28484.25
791.2885	97.9842	28897.9	28259.65
791.4297	100.2398	28268.7	27625.15
791.571	102.4949	27530.85	26883.25
791.7123	104.7495	26697.3	26048.95
791.8536	107.0036	25845.2	25192.35
791.9949	109.2573	25063.25	24416.15
792.1363	111.5105	24253.05	23603.7
792.2777	113.7632	23548.65	22895.75
792.4191	116.0154	22971.5	22309
792.5605	118.2672	22530.2	21873.4
