Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 1:21:47 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.2
System Temp (C):	26.1
Spectrometer Temp (C):	24
CCD Temp (C):	0
Secondary Temp (C):	20.007
Heatsink Temp (C):	21.205
CCDPCB Temp (C):	36.329
SecondaryPCB Temp (C):	30.805

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	453.95	45.6
787.2016	32.3739	454	46.85
787.3422	34.6426	460.8	54.55
787.4828	36.9109	466.1	57.5
787.6235	39.1787	470.7	58.35
787.7642	41.4461	482.3	63.1
787.9049	43.7131	490.4	69.5
788.0456	45.9796	498.55	76.25
788.1863	48.2456	505.6	77.7
788.3271	50.5112	515.35	84.2
788.4679	52.7764	525.05	89.5
788.6087	55.0411	536.9	97.1
788.7496	57.3054	546.1	100.65
788.8904	59.5692	555.65	108.55
789.0313	61.8326	563.6	115.6
789.1722	64.0955	576.25	125.8
789.3132	66.3579	595.9	136.5
789.4541	68.6199	611.9	147.95
789.5951	70.8815	647.3	181.05
789.7361	73.1426	728.95	258.8
789.8771	75.4032	925.55	451.8
790.0181	77.6634	1410	930.4
790.1592	79.9231	2557.4	2069
790.3003	82.1824	5027.45	4521.3
790.4414	84.4412	9491.95	8951.6
790.5825	86.6995	15608.65	15030.35
790.7237	88.9574	21577.45	20962.2
790.8648	91.2148	25684.85	25050.55
791.006	93.4717	27506.5	26850.35
791.1472	95.7282	27831.65	27171.6
791.2885	97.9842	27667.15	27001.15
791.4297	100.2398	27026.15	26354.95
791.571	102.4949	26348.15	25680
791.7123	104.7495	25564.3	24892.15
791.8536	107.0036	24646.3	23975.05
791.9949	109.2573	23879.1	23208
792.1363	111.5105	23115.8	22442.7
792.2777	113.7632	22377.1	21700.15
792.4191	116.0154	21794	21107.7
792.5605	118.2672	21314.7	20625.55
792.7019	120.5185	20895.2	20205.75
792.8434	122.7693	20509.3	19819.3
792.9849	125.0197	20190.85	19500.9
793.1264	127.2696	19927.85	19233.2
793.2679	129.519	19751	19051.45
793.4094	131.7679	19505.55	18802.25
793.551	134.0163	19272.25	18569.2
793.6926	136.2642	19041.25	18331.4
793.8342	138.5117	18797	18089.25
793.9758	140.7587	18484.5	17771.4
794.1175	143.0052	18231.2	17516.35
794.2591	145.2512	17943.8	17231.45
794.4008	147.4967	17689.35	16972.35
794.5425	149.7417	17517.55	16800.35
794.6842	151.9863	17367	16642.2
794.826	154.2304	17285	16553.35
794.9677	156.4739	17143.7	16409.9
795.1095	158.717	17054.75	16320.65
795.2513	160.9596	16859.9	16120.2
795.3931	163.2017	16620.6	15881.8
795.535	165.4433	16336.7	15593.15
795.6768	167.6844	15993.75	15251.2
795.8187	169.925	15681.75	14939
