Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 1:22:34 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.2
System Temp (C):	26.2
Spectrometer Temp (C):	23.9
CCD Temp (C):	0.013
Secondary Temp (C):	20.014
Heatsink Temp (C):	21.237
CCDPCB Temp (C):	36.274
SecondaryPCB Temp (C):	29.837

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	453.35	46.8
787.2016	32.3739	452.75	49.9
787.3422	34.6426	455.45	49.3
787.4828	36.9109	465.6	57.75
787.6235	39.1787	469.05	57.2
787.7642	41.4461	481.05	63.5
787.9049	43.7131	490.7	70.25
788.0456	45.9796	496.15	73.35
788.1863	48.2456	509.1	83.45
788.3271	50.5112	517.65	86.45
788.4679	52.7764	522.7	87.85
788.6087	55.0411	535.75	96.6
788.7496	57.3054	544.75	100.55
788.8904	59.5692	550	102.65
789.0313	61.8326	567.3	117.1
789.1722	64.0955	575.5	122.75
789.3132	66.3579	591.15	132.6
789.4541	68.6199	608.3	145.9
789.5951	70.8815	640.65	173.05
789.7361	73.1426	723.45	252.85
789.8771	75.4032	922.45	449.9
790.0181	77.6634	1409.5	929.55
790.1592	79.9231	2529.45	2040.15
790.3003	82.1824	5004.25	4497.7
790.4414	84.4412	9410.95	8875.25
790.5825	86.6995	15504.2	14925.1
790.7237	88.9574	21427.1	20817.4
790.8648	91.2148	25477.4	24840.4
791.006	93.4717	27316.85	26669
791.1472	95.7282	27627.2	26967.05
791.2885	97.9842	27439.2	26771.45
791.4297	100.2398	26819.3	26148.15
791.571	102.4949	26151.55	25485
791.7123	104.7495	25342.1	24671.65
791.8536	107.0036	24514.85	23843
791.9949	109.2573	23733.95	23060.5
792.1363	111.5105	22968.85	22291.9
792.2777	113.7632	22239.5	21565.8
792.4191	116.0154	21688.25	20999.55
792.5605	118.2672	21202.9	20520.1
792.7019	120.5185	20759.85	20075.75
792.8434	122.7693	20407.15	19715.5
