Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 2:11:30 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.3
System Temp (C):	26.3
Spectrometer Temp (C):	24.2
CCD Temp (C):	0.004
Secondary Temp (C):	20
Heatsink Temp (C):	21.277
CCDPCB Temp (C):	36.362
SecondaryPCB Temp (C):	32.138

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	467.7	60.2
787.2016	32.3739	467.45	61.05
787.3422	34.6426	475.35	67.8
787.4828	36.9109	477.6	67.55
787.6235	39.1787	489.35	76
787.7642	41.4461	498.85	81.1
787.9049	43.7131	506.8	84.5
788.0456	45.9796	520	96.4
788.1863	48.2456	523.2	94.1
788.3271	50.5112	537.95	105.5
788.4679	52.7764	546.1	111.65
788.6087	55.0411	558.65	118.05
788.7496	57.3054	573.15	128.8
788.8904	59.5692	581.5	134.8
789.0313	61.8326	589.05	140.7
789.1722	64.0955	602.2	149.1
789.3132	66.3579	623.1	166.25
789.4541	68.6199	640.45	179.05
789.5951	70.8815	681.6	215.65
789.7361	73.1426	769.25	299.9
789.8771	75.4032	984	511.05
790.0181	77.6634	1508.6	1028.75
790.1592	79.9231	2776.85	2288.7
790.3003	82.1824	5500.65	4996.05
790.4414	84.4412	10436.45	9900.7
790.5825	86.6995	17222.4	16645.7
790.7237	88.9574	23819.05	23211.3
790.8648	91.2148	28358.1	27722.3
791.006	93.4717	30514.55	29866.4
791.1472	95.7282	31062.2	30410
791.2885	97.9842	31017.15	30355.2
791.4297	100.2398	30566	29905.15
791.571	102.4949	29998.4	29332.75
791.7123	104.7495	29324	28659.25
791.8536	107.0036	28539.2	27874.35
791.9949	109.2573	27764.2	27095.3
792.1363	111.5105	27091.7	26419.2
792.2777	113.7632	26407.05	25734.45
792.4191	116.0154	25802.85	25115.7
792.5605	118.2672	25380.25	24704.4
792.7019	120.5185	24924.95	24244.45
792.8434	122.7693	24578	23897.1
792.9849	125.0197	24342	23656.35
793.1264	127.2696	24051.9	23359.9
793.2679	129.519	23901.35	23206.85
793.4094	131.7679	23727.15	23028.95
793.551	134.0163	23620.75	22918.45
793.6926	136.2642	23432.9	22730.25
793.8342	138.5117	23290.65	22577.25
793.9758	140.7587	23047.15	22336.85
794.1175	143.0052	22906.55	22196.2
794.2591	145.2512	22653.95	21943.2
794.4008	147.4967	22484	21775.2
794.5425	149.7417	22333.8	21621.45
794.6842	151.9863	22226.15	21510.5
794.826	154.2304	22170.8	21444.8
794.9677	156.4739	22045.95	21315.4
795.1095	158.717	21985.55	21255.65
795.2513	160.9596	21862.55	21123.35
795.3931	163.2017	21661.75	20924.15
795.535	165.4433	21411.35	20672
795.6768	167.6844	21081.9	20346.05
795.8187	169.925	20783.75	20043.5
795.9606	172.1651	20391.05	19646.7
796.1025	174.4047	20159.75	19413.7
796.2445	176.6439	19879.45	19132.2
796.3864	178.8825	19661.9	18908.95
796.5284	181.1206	19504.75	18750.35
796.6704	183.3582	19351.15	18590.3
796.8124	185.5954	19271.35	18506.7
796.9544	187.832	19220.65	18456.45
797.0965	190.0681	19187.55	18418.75
797.2386	192.3037	19228.9	18458.6
797.3806	194.5388	19239.8	18459.6
797.5228	196.7734	19307.5	18532.45
797.6649	199.0075	19399.45	18620.65
797.807	201.2411	19568.45	18782.8
797.9492	203.4742	19645.05	18861.8
798.0914	205.7068	19815.95	19026.6
798.2336	207.9389	19917.65	19132.55
798.3758	210.1704	20083.05	19304.6
798.518	212.4015	20220.95	19451.45
798.6603	214.632	20417.7	19655.95
798.8025	216.862	20633.9	19870.2
798.9448	219.0915	20774.6	20007.25
799.0871	221.3205	21028.25	20255.85
799.2294	223.549	21304.15	20538.8
799.3718	225.777	21639.5	20873.7
799.5141	228.0044	22045.45	21273.05
799.6565	230.2314	22531.9	21756.95
799.7989	232.4578	22944	22171.35
799.9413	234.6837	23370.15	22585.5
800.0837	236.909	23604.15	22820.5
800.2262	239.1339	23613	22799.5
800.3687	241.3582	23406.15	22606.05
800.5111	243.582	23091.4	22259.85
800.6536	245.8053	22728	21913.95
800.7961	248.0281	22430.65	21624.2
800.9387	250.2503	22162.2	21352.05
801.0812	252.472	22038.3	21227.9
801.2238	254.6932	21974.95	21166.45
801.3664	256.9139	21899.2	21087.6
801.509	259.134	21906.25	21084.45
801.6516	261.3536	21866.05	21048
801.7942	263.5727	21971.7	21153
801.9369	265.7912	21891.9	21070.75
802.0795	268.0092	21895.9	21082.15
802.2222	270.2267	21878.15	21059
802.3649	272.4436	21856.95	21035.9
802.5076	274.6601	21785.9	20955.85
802.6504	276.8759	21750	20924.3
802.7931	279.0913	21754.9	20931.55
802.9359	281.3061	21758.65	20932.6
803.0787	283.5204	21853.15	21020.5
803.2215	285.7341	21924.9	21090.55
803.3643	287.9473	22136.95	21294.3
803.5071	290.16	22352.75	21518.3
803.6499	292.3721	22657.35	21825.55
803.7928	294.5837	23132.65	22298.6
803.9357	296.7947	23464.6	22630.45
804.0786	299.0052	23714.8	22882.05
804.2215	301.2152	23549.45	22710.8
804.3644	303.4246	23254.8	22419.8
804.5074	305.6334	22733.45	21901.85
804.6503	307.8418	22220.3	21383.25
804.7933	310.0495	21837.15	21000.75
804.9363	312.2568	21547.1	20705.7
805.0793	314.4635	21331.5	20490.85
805.2223	316.6696	21260.35	20413.6
805.3653	318.8752	21192.15	20337.45
805.5084	321.0802	21266.35	20415.55
805.6514	323.2847	21427.8	20576.3
805.7945	325.4887	21470.7	20622.55
805.9376	327.692	21441.65	20590
806.0807	329.8949	21346.7	20496.2
806.2238	332.0972	21112.8	20261.2
806.367	334.2989	20873.25	20017.75
806.5101	336.5001	20596.55	19741.45
806.6533	338.7007	20393.3	19539.4
806.7965	340.9008	20313.1	19453.3
806.9397	343.1003	20180.9	19323.2
807.0829	345.2992	20148.05	19289.5
807.2261	347.4976	20159.1	19295.15
807.3693	349.6955	20135.1	19271.5
807.5126	351.8927	20259.35	19393.15
807.6559	354.0895	20255.7	19374.95
807.7991	356.2856	20330.55	19458
807.9424	358.4812	20289.6	19422.6
808.0857	360.6763	20367	19493.85
808.2291	362.8707	20327.65	19454.45
808.3724	365.0646	20418.5	19544.5
808.5158	367.258	20407.05	19531.7
808.6591	369.4508	20475.65	19597.4
808.8025	371.643	20529.15	19646.95
808.9459	373.8346	20537.1	19654.85
809.0893	376.0257	20521.95	19639.7
809.2327	378.2162	20446.45	19572.6
809.3762	380.4062	20403.2	19526.15
809.5196	382.5956	20255.9	19378
809.6631	384.7844	20162.25	19297.9
809.8066	386.9726	20056.8	19189.25
809.9501	389.1603	20008.85	19140.95
810.0936	391.3474	20001.6	19103.75
810.2371	393.5339	20032.7	19157.95
810.3806	395.7199	19965.4	19091.85
810.5241	397.9052	19999.5	19127.75
810.6677	400.09	20042	19172.1
810.8113	402.2743	20100.5	19226.65
810.9548	404.4579	20194.25	19318.45
811.0984	406.641	20351.5	19475.1
811.2421	408.8235	20612.15	19737.3
811.3857	411.0054	20895.85	20014.75
811.5293	413.1868	21401.6	20516.25
811.673	415.3675	21720.45	20834.1
811.8166	417.5477	21964	21075.2
811.9603	419.7273	22026.4	21136.7
812.104	421.9064	21943.2	21053.3
812.2477	424.0848	21766.7	20885.4
812.3914	426.2627	21543	20657.7
812.5351	428.4399	21279.55	20388.65
812.6788	430.6166	20942.45	20047.95
812.8226	432.7928	20606.2	19711.75
812.9663	434.9683	20292.35	19401.25
813.1101	437.1432	20051.45	19161.25
813.2539	439.3176	19885.85	19003.95
813.3977	441.4914	19766.15	18887.15
813.5415	443.6645	19794.25	18911.15
813.6853	445.8371	19718.75	18830.45
813.8291	448.0091	19641.6	18751
813.973	450.1806	19605.45	18718.75
814.1168	452.3514	19583.3	18701.4
814.2607	454.5216	19612.05	18717.7
814.4046	456.6913	19528.8	18640.6
814.5485	458.8603	19576.45	18691.65
814.6924	461.0288	19669.85	18789.85
814.8363	463.1967	19691.35	18815.4
814.9802	465.3639	19837.45	18953.35
815.1241	467.5306	19931.05	19043
815.2681	469.6967	20081.95	19200.7
815.412	471.8622	20246.55	19366.35
815.556	474.0271	20420.05	19538.4
815.7	476.1914	20477.6	19587.6
815.844	478.3551	20491.75	19601.3
815.988	480.5182	20492.6	19605.75
816.132	482.6807	20477.05	19599.95
816.276	484.8426	20607.2	19736.8
816.4201	487.0039	20889.6	20013.9
816.5641	489.1647	21303.95	20415.05
816.7082	491.3248	21780.7	20889.5
816.8522	493.4843	21972.05	21089.1
816.9963	495.6432	21980.85	21096
817.1404	497.8015	21907.25	21010.25
817.2845	499.9592	21935.85	21034.1
817.4286	502.1163	21906.5	21002.3
817.5727	504.2728	21643.35	20751.65
817.7168	506.4287	21423.55	20546.1
817.861	508.5839	20951.25	20071
818.0051	510.7386	20659.4	19770.15
818.1493	512.8927	20489.8	19591.3
818.2935	515.0461	20402.35	19504.65
818.4377	517.199	20383.65	19482.35
818.5818	519.3512	20336.55	19434.2
818.726	521.5029	20454.45	19553.9
818.8703	523.6539	20508.8	19612.2
819.0145	525.8043	20577.9	19678.25
819.1587	527.9541	20609.35	19706.25
819.303	530.1033	20611.9	19712.55
819.4472	532.2519	20625.5	19725.3
819.5915	534.3999	20804.15	19899.65
819.7357	536.5472	21093.6	20194.3
819.88	538.694	21551.55	20656.95
820.0243	540.8401	22180.05	21278
820.1686	542.9856	22695.85	21783.8
820.3129	545.1305	22894.55	21978.4
820.4572	547.2748	22812.35	21886
820.6016	549.4185	22450.55	21529.2
820.7459	551.5615	22098.25	21178
820.8902	553.704	21988.35	21074.3
821.0346	555.8458	21890.95	20977.6
821.1789	557.987	21906.8	20996.2
821.3233	560.1276	21928.3	21016.4
821.4677	562.2675	21928.15	21013.3
821.6121	564.4069	21939.25	21025.45
821.7565	566.5456	21945.7	21032.3
821.9009	568.6837	21857.55	20948.25
822.0453	570.8212	21600.55	20693.4
822.1897	572.958	21296.7	20389.75
822.3342	575.0942	21031.9	20124.05
822.4786	577.2299	20870.6	19968.25
822.6231	579.3648	20805.75	19919.55
822.7675	581.4992	20873.95	19993.85
822.912	583.6329	21117.75	20240.95
823.0565	585.766	21355.95	20469.6
823.201	587.8985	21473	20583.4
823.3454	590.0304	21510.55	20593.85
823.4899	592.1616	21442.55	20527.7
823.6345	594.2922	21352.15	20437.25
823.779	596.4222	21225.2	20308.55
823.9235	598.5515	21069.35	20150.4
824.068	600.6802	20932.2	20013.15
824.2126	602.8083	20713.65	19798.45
824.3571	604.9358	20703.7	19787.5
824.5017	607.0626	20639	19715.85
824.6462	609.1888	20633	19704.15
824.7908	611.3144	20547.05	19623.05
824.9354	613.4393	20456.15	19530.45
825.08	615.5636	20353.8	19425.8
825.2246	617.6873	20293.4	19373.55
825.3692	619.8103	20231.85	19303.4
825.5138	621.9327	20149.45	19226.95
825.6584	624.0544	20121.8	19209.8
825.803	626.1756	20182.35	19264.3
825.9477	628.2961	20122.5	19200.05
826.0923	630.4159	20056.85	19130.8
826.237	632.5351	20060.85	19137.1
826.3816	634.6537	20011.95	19089.45
826.5263	636.7716	20028	19099.2
826.6709	638.8889	20047.1	19114.4
826.8156	641.0056	20114.65	19181.4
826.9603	643.1216	20094.2	19164.3
827.105	645.237	20163.9	19232.9
827.2497	647.3518	20109.35	19185.15
827.3944	649.4659	20164.95	19250.55
827.5391	651.5793	20184.55	19270.55
827.6838	653.6922	20191.6	19271.4
827.8285	655.8043	20163.65	19245.2
827.9733	657.9159	20203.3	19282.65
828.118	660.0268	20130.2	19210.2
828.2627	662.137	20074.8	19147.5
828.4075	664.2466	20094.55	19163.2
828.5522	666.3556	20059.95	19129.65
828.697	668.4639	20073.85	19153.3
828.8418	670.5716	20123.6	19204.9
828.9865	672.6786	20257.95	19334.4
829.1313	674.785	20276	19345.15
829.2761	676.8907	20337.45	19411.8
829.4209	678.9958	20442.85	19521.75
829.5657	681.1002	20418.95	19489.3
829.7105	683.204	20430.45	19493.2
829.8553	685.3072	20412	19471
830.0001	687.4097	20366.75	19435.05
830.1449	689.5115	20338.05	19401.8
830.2898	691.6127	20311.4	19382.7
830.4346	693.7132	20240.4	19318.05
830.5794	695.8131	20209.6	19258.75
830.7243	697.9123	20222.1	19286.25
830.8691	700.0109	20184.9	19243.75
831.014	702.1089	20205.9	19274.65
831.1588	704.2061	20230.6	19296.15
831.3037	706.3028	20274.95	19340.65
831.4486	708.3987	20327.25	19391.45
831.5935	710.4941	20406.5	19471.2
831.7383	712.5887	20616.4	19683.95
831.8832	714.6827	20926.65	19989.1
832.0281	716.7761	21306.6	20377.85
832.173	718.8688	21702.1	20768.95
832.3179	720.9608	21884.9	20941.65
832.4628	723.0522	21964.2	21019.9
832.6077	725.1429	21791.25	20847.9
832.7527	727.233	21478.55	20540
832.8976	729.3224	21309.8	20370.15
833.0425	731.4112	20979.7	20039.4
833.1874	733.4993	20765.95	19829.75
833.3324	735.5867	20618.7	19685.05
833.4773	737.6735	20557.3	19619.1
833.6222	739.7596	20487.4	19548.55
833.7672	741.845	20495	19558.95
833.9122	743.9298	20419.15	19485.85
834.0571	746.014	20434.65	19496.4
834.2021	748.0974	20467	19523.3
834.347	750.1802	20494.1	19550.15
834.492	752.2624	20474.55	19533.3
834.637	754.3439	20529.55	19582.05
834.782	756.4247	20591.8	19640.8
834.9269	758.5048	20686.05	19744.8
835.0719	760.5843	20927.35	19979
835.2169	762.6631	21229.45	20283.25
835.3619	764.7413	21649	20707.65
835.5069	766.8188	22240.1	21296.55
835.6519	768.8956	22699.15	21753.8
835.7969	770.9718	23040.15	22099.3
835.9419	773.0473	22858.9	21915.2
836.0869	775.1221	22567.25	21621
836.232	777.1962	22173.9	21228.15
836.377	779.2697	22035.95	21090.2
836.522	781.3426	22063.4	21100.95
836.667	783.4147	22303.25	21359.9
836.8121	785.4862	22674.3	21729.6
836.9571	787.557	22686.05	21737.95
837.1021	789.6271	22373.65	21422.65
837.2472	791.6966	21849	20904.25
837.3922	793.7654	21304.65	20357.85
837.5373	795.8335	21017.1	20072.45
837.6823	797.901	20833.05	19888.55
837.8274	799.9678	20820.85	19872.7
837.9724	802.0339	20833.1	19884.2
838.1175	804.0993	20882.5	19920.3
838.2626	806.1641	20919.95	19970.7
838.4076	808.2282	20873.85	19926.15
838.5527	810.2916	20823	19874.65
838.6978	812.3544	20694.85	19750.9
838.8428	814.4164	20617.45	19668.9
838.9879	816.4778	20653.65	19702.5
839.133	818.5385	20627.85	19675.65
839.2781	820.5986	20719.85	19767.45
839.4232	822.658	20818.5	19865.95
839.5682	824.7166	20912.1	19959.35
839.7133	826.7747	21183.45	20234.95
839.8584	828.832	21385.05	20433.4
840.0035	830.8886	21484.15	20529.4
840.1486	832.9446	21635.25	20684.5
840.2937	834.9999	21667.85	20717.4
840.4388	837.0545	21730.8	20775.35
